Project Name,Developer,Technology Type,Capacity,Strike Price,Delivery,Homes,Region,x_coord,y_coord
Costa Head Wind Farm,Costa Head ,Remote Island Wind,16.32,39.65,2023/24,15750,Scotland,329920,1029790
"Druim Leathann
Windfarm Limited",Druim Leathann ,Remote Island Wind,49.5,41.611,2024/25,47760,Scotland,151276,946709
Hesta Head Wind Farm,Hesta Head,Remote Island Wind,20.4,39.65,2023/24,19680,Scotland,346223,988155
"Muaitheabhal Wind
Farm",Muaitheabhal,Remote Island Wind,189,39.65,2023/24,182340,Scotland,132947,913350
"Doggerbank Creyke
Beck A P1",Doggerbank A,Offshore Wind,1200,39.65,2023/241,1505330,England,629000,681000
"Doggerbank Creyke
Beck B P1",Doggerbank B,Offshore Wind,1200,41.611,2024/251,1505330,England,629000,681000
"Doggerbank Teeside A
P1",Doggerbank Teeside,Offshore Wind,1200,41.611,2024/251,1505330,England,675550,599192
Forthwind,Forthwind ,Offshore Wind,12,39.65,2023/24,15050,Scotland,337127,697389
Seagreen Phase 1,Seagreen,Offshore Wind,454,41.611,2024/251,569520,Scotland,404600,749300
"Sofia Offshore Wind
Farm Phase 1",Sofia ,Offshore Wind,1400,39.65,2023/241,1756220,England,675550,599192
